dbo:Event;;;When was the Battle of <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;List all the musicals with music by <A>. ; select  <A>  where { dbr:Musical_theatre dbr:Music. }; select distinct( ?a) where {  dbr:Musical_theatre dbr:Music [].  };
dbo:City;;;How high is the lighthouse in <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Who was the wife of U.S. president <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:CreativeWork;;;Who is the host of the <B> Wildlife Specials? ; select  <A>  <B>  where { <b> CreativeWork ?b. }; select distinct( ?a ?b) where {  ?b CreativeWork [].  };
dbo:CreativeWork;;;How much did <A> cost? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Event;;;When did <A> commence? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Place;;;In which city does the <A> end? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Who developed <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Who was married to <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;What did <A> die from? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:BodyOfWater;;;Which cities does the <A> flow through? ; select  <A>  where { <a> BodyOfWater ?a. }; select distinct( ?a) where {  ?a BodyOfWater [].  };
dbo:Organization;;;How many seats does the home stadium of <A> have? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Who is the daughter of <A> married to? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Organization;;;Which books by Kerouac were published by <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;How tall is <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Book;;;Who wrote the book Les Piliers de <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Place;;;Which river does the <A> cross? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:generic;;;What is the largest <B> in the world? ; select  <A>  <B>  where { <b> generic ?b. }; select distinct( ?a ?b) where {  ?b generic [].  };
dbo:Place;;;Who is the mayor of <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:City;;;Who is the coach of <A>'s ice hockey team? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Which awards did <A> win? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Do <B> and Prince William have the same parents? ; select  <A>  <B>  where {}; select distinct( ?a ?b) where {  };
dbo:CreativeWork;;;Who played <B> in Matrix? ; select  <A>  <B>  where {}; select distinct( ?a ?b) where {  };
dbo:Country;;;How many languages are spoken in <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;In which films did <B> as well as Richard Gere play? ; select  <A>  <B>  where {}; select distinct( ?a ?b) where {  };
dbo:generic;;;In which country does the Ganges <B>? ; select  <A>  <B>  where { <a> generic ?a. }; select distinct( ?a ?b) where {  ?a generic [].  };
dbo:Person;;;In which year was <A> born? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Is <A> a democrat? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Where was <A> born? ; select  <A>  where { <a> Person ?a. }; select distinct( ?a) where {  ?a Person [].  };
dbo:Person;;;How often did <A> marry? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Mountain;;;Who was the first to climb <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Country;;;How many people live in <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Organization;;;What is the location of the Houses of <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:BodyOfWater;;;In which country is the <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Country;;;What is the highest mountain in <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Is <A> still alive? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:CreativeWork;;;Who created <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Country;;;What is the official language of <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:CreativeWork;;;Who wrote the song <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Give me all actors starring in movies directed by <A>. ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Country;;;Give me all professional skateboarders from <A>. ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Organization;;;Does <B> play for Real Madrid? ; select  <A>  <B>  where { <b> Organization ?b. }; select distinct( ?a ?b) where {  ?b Organization [].  };
dbo:Organization;;;How many companies were founded in the same year as <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Country;;;In which UK city are the headquarters of the <B>? ; select  <A>  <B>  where { dbr:City ?a. }; select distinct( ?a ?b) where {  dbr:City ?a [].  };
dbo:Event;;;Was the <A> earlier than the Bay of Pigs Invasion? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Country;;;When did the <A> dissolve? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Organization;;;List all episodes of the first season of the HBO television series <B>! ; select  <A>  <B>  where { <a> Organization ?a. }; select distinct( ?a ?b) where {  ?a Organization [].  };
dbo:City;;;What is the total population of <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Did <A> attend a university? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Mountain;;;What country is <A> in? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Country;;;What is the largest city in <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Organization;;;Give me all launch pads operated by <A>. ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Place;;;Who is the mayor of <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
