Art,<A> has architected in how many cities?,SELECT DISTINCT COUNT(?uri) where { ?x <http://dbpedia.org/ontology/architect> <A> . ?x <http://dbpedia.org/property/locationTown> ?uri . ?uri a <http://dbpedia.org/ontology/City> },select distinct ?a where { ?x <http://dbpedia.org/ontology/architect> ?a . ?x <http://dbpedia.org/property/locationTown> ?uri . ?uri a <http://dbpedia.org/ontology/City> }
Art,<A> has created how many comics character ?,SELECT DISTINCT COUNT(?uri) where { ?uri <http://dbpedia.org/property/creators> <A> . ?uri a <http://dbpedia.org/ontology/ComicsCharacter> },select distinct ?a where { ?uri <http://dbpedia.org/property/creators> ?a . ?uri a <http://dbpedia.org/ontology/ComicsCharacter> }
Art,<B> is a work of <A>?,ASK where { <B> <http://dbpedia.org/ontology/previousWork> <A> },"select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/previousWork> ?a }"
Art,By what style was <A> made?,SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/style> ?uri },select distinct ?a where { ?a <http://dbpedia.org/property/style> ?uri }
Art,Count the number of judges who've come on <A> shows.,SELECT DISTINCT COUNT(?uri) where { ?x <http://dbpedia.org/ontology/network> <A> . ?x <http://dbpedia.org/property/judges> ?uri },select distinct ?a where { ?x <http://dbpedia.org/ontology/network> ?a . ?x <http://dbpedia.org/property/judges> ?uri }
Art,Did <A> create <B>?,ASK where { <B> <http://dbpedia.org/property/creators> <A> },"select distinct ?a, ?b where { ?b <http://dbpedia.org/property/creators> ?a }"
Art,Did <B> create <A>?,ASK where { <A> <http://dbpedia.org/property/creators> <B> },"select distinct ?a, ?b where { ?a <http://dbpedia.org/property/creators> ?b }"
Art,Did <B> create the <A>?,ASK where { <A> <http://dbpedia.org/property/creators> <B> },"select distinct ?a, ?b where { ?a <http://dbpedia.org/property/creators> ?b }"
Art,Did <B> design <A>?,ASK where { <A> <http://dbpedia.org/ontology/designCompany> <B> },"select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/designCompany> ?b }"
Art,Did <B> originate in <A>?,ASK where { <B> <http://dbpedia.org/property/stylisticOrigins> <A> },"select distinct ?a, ?b where { ?b <http://dbpedia.org/property/stylisticOrigins> ?a }"
Art,Did <B> originate in <A>?,ASK where { <B> <http://dbpedia.org/ontology/stylisticOrigin> <A> },"select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/stylisticOrigin> ?a }"
Art,Does <B> belong to the genre <A>?,ASK where { <B> <http://dbpedia.org/ontology/literaryGenre> <A> },"select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/literaryGenre> ?a }"
Art,Does <B> follow the architectural style of <A>?,ASK where { <B> <http://dbpedia.org/property/architecture> <A> },"select distinct ?a, ?b where { ?b <http://dbpedia.org/property/architecture> ?a }"
